,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
182,Quest for Glory V: Dragon Fire,1897,0,1,0,1,0,1,0,1,0,1,1
183,Z. Year One,33836,0,1,0,1,1,1,0,1,1,1,1
184,ItazuraVR,110730,0,0,0,0,0,0,0,0,0,0,0
185,Metal Gear,133917,0,0,0,0,0,0,0,0,0,0,0
186,Kitsune Kitchen,102376,0,0,0,0,0,0,0,0,0,0,0
187,Shelter 2,11795,0,0,0,0,0,0,0,0,0,0,0
188,Neofeud,55688,1,0,0,1,1,0,0,1,1,1,1
189,A Legend of Luca,18205,0,4,2,3,0,4,2,2,3,3,3
190,Sydney Hunter and the Curse of the Mayan,59297,0,0,0,1,0,0,0,1,1,1,1
191,The Sexy Brutale,22783,0,1,1,1,0,1,1,1,1,1,1
192,Block King,31131,0,0,0,0,0,0,0,0,0,0,0
193,Halo Infinite: Season 1 - Heroes of Reach,182199,1,0,0,1,1,1,0,0,1,1,1
194,Tales of Berseria,18812,0,2,0,0,0,1,0,0,0,0,0
195,Trafico,81797,0,0,0,0,0,0,0,0,0,0,0
196,Submerged,11409,0,0,0,0,0,0,0,0,0,0,0
197,Ponpu,132777,0,0,0,0,0,0,0,0,0,0,0
198,King of Booze: Drinking Game,31590,0,0,0,0,0,1,0,1,0,0,0
199,Uncharted 4: A Thief's End - Remastered,168668,0,0,0,0,0,0,0,0,0,0,0
200,Wars and Warriors: Joan of Arc,17297,0,0,0,1,0,0,0,0,1,1,1
201,UNO & Friends,28711,0,2,1,2,1,1,1,1,2,2,2
202,Final Fantasy VII Remake: Episode Intermission,144037,1,0,1,1,0,0,1,0,1,1,1
203,Dark Colony,51199,0,0,0,0,0,0,0,0,0,0,0
204,ArcheBlade,11664,0,0,0,0,0,2,0,2,0,0,0
205,Back to the Future: The Game - Episode 2: Get Tannen!,78253,0,0,0,0,0,0,0,0,0,0,0
206,Star Wars Battlefront II,26401,0,3,3,3,0,2,3,2,3,3,3
207,Arma: Cold War Assault,9775,0,0,0,0,0,0,0,0,0,0,0
208,Die by the Sword,10912,0,0,0,0,0,0,0,0,0,0,0
209,Killers and Thieves,36726,0,0,0,0,0,0,0,0,0,0,0
210,To Be or Not to Be,17870,0,0,0,0,0,0,0,0,0,0,0
211,Ticket,30271,0,0,0,0,0,0,0,0,0,0,0
212,OneShot,23181,1,1,1,1,1,0,1,0,1,1,1
213,Sid Meier's Civilization IV,293,1,4,3,3,1,4,3,3,2,2,2
214,Zuma,3753,1,0,1,2,2,0,1,0,2,2,2
215,The Fleet,38720,0,0,0,0,0,0,0,0,0,0,0
216,Sword Legacy: Omen,74734,0,1,2,2,0,1,2,1,1,1,1
217,Glitchrunners,33456,0,0,0,0,0,0,0,0,0,0,0
218,Governor of Poker 3,33663,1,1,1,1,1,1,1,1,1,1,1
219,No70: Eye of Basir,35238,0,0,0,0,0,0,0,0,0,0,0
220,Zueirama,110641,0,0,0,0,0,0,0,0,0,0,0
221,The Amazing Spider-Man,1376,3,3,3,3,2,2,3,3,3,3,3
222,Metro Redux,6880,0,4,4,4,0,4,4,4,4,4,4
223,Creature Card Idle,126739,0,0,0,0,0,0,0,0,0,0,0
224,SBK X: Superbike World Championship,7180,0,0,0,0,0,0,0,0,0,0,0
225,Nibiru: Age of Secrets,24263,0,0,0,0,0,0,0,0,0,0,0
226,Elminage Gothic,17210,0,0,0,0,0,0,0,0,0,0,0
227,Age of Wonders III: Eternal Lords,11085,0,0,0,0,0,0,0,0,0,0,0
228,Wingspan,121586,0,0,0,0,0,0,0,0,0,0,0
229,Hollow Island,128050,0,0,0,0,0,0,0,0,0,0,0
230,Forsaken World,11231,0,1,0,1,0,0,0,0,1,1,1
231,Frontiers,14081,0,0,0,0,0,0,0,0,0,0,0
232,Shenzhen I/O,25084,0,0,0,0,0,0,0,0,0,0,0
233,Desert Law,35592,0,0,0,1,0,1,0,1,1,1,1
234,Holopoint,33147,0,0,0,0,0,0,0,2,0,0,0
235,Pipe Push Paradise,72519,0,0,0,0,0,0,0,0,0,0,0
236,Gloomhaven,106803,0,1,0,1,1,0,0,1,1,1,1
237,A Mortician's Tale,28073,0,0,0,0,0,0,0,0,0,0,0
238,Blazing Beaks,75158,0,1,0,0,0,0,0,0,0,0,0
239,Love 2: Kuso,29777,0,0,0,0,0,0,0,0,0,0,0
240,Mother Russia Bleeds,6655,2,3,2,3,2,1,2,1,3,3,3
241,Knytt Underground,16633,0,0,0,0,0,0,0,0,0,0,0
242,Fragile Fighter,108327,0,0,0,0,0,0,0,0,0,0,0
243,Konung 2: Blood of Titans,10491,0,0,0,0,0,0,0,0,0,0,0
244,Exteme School Driving Simulator,114554,0,0,0,0,0,0,0,0,0,0,0
